experiment,script,workflow_name,sample_index,model_name,input_sampling_rate,audio_duration_sec,predicted_text_raw,predicted_text_normalized,reference_text_raw,reference_text_normalized,wer,cer,inference_time_sec,timestamp
exp2_shortform_asr,GA20A,ga20a_whisper_pipeline,114,openai/whisper-small,16000,22.272," I'm having issues with the online banking app. I'm not sure what's wrong, but when I try to log in, it keeps crashing. So what I've done is I've deleted it and reinstalled it, but it still does the same thing and it's not working. Is there any way that you can call me back and assist me? Thank you.",i m having issues with the online banking app i m not sure what s wrong but when i try to log in it keeps crashing so what i ve done is i ve deleted it and reinstalled it but it still does the same thing and it s not working is there any way that you can call me back and assist me thank you,we're having issues with the online banking app I'm not sure what's wrong with but when I try to login it keeps crashing so what I've done is I've deleted it and we installed it but it still does the same thing and it's not working is there any way that you can call me back and assist me thank you,we re having issues with the online banking app i m not sure what s wrong with but when i try to login it keeps crashing so what i ve done is i ve deleted it and we installed it but it still does the same thing and it s not working is there any way that you can call me back and assist me thank you,0.1044776119402985,0.040268456375838924,1.4015135879999434,2026-04-04 00:41:45
exp2_shortform_asr,GA20A,ga20a_whisper_pipeline,25,openai/whisper-small,16000,6.656, I need to pay a bill. I'd like to make payment.,i need to pay a bill i d like to make payment,I need to pay a bill ID like to make payment,i need to pay a bill id like to make payment,0.18181818181818182,0.022727272727272728,0.3361830329995428,2026-04-04 00:41:45
exp2_shortform_asr,GA20A,ga20a_whisper_pipeline,281,openai/whisper-small,16000,2.218625, I want to open a joint account.,i want to open a joint account,I want to open a joint account,i want to open a joint account,0.0,0.0,0.24744054199982202,2026-04-04 00:41:45
exp2_shortform_asr,GA20A,ga20a_whisper_pipeline,250,openai/whisper-small,16000,8.52, I'm going overseas and I need to check my credit card works okay? Okay overseas.,i m going overseas and i need to check my credit card works okay okay overseas,I'm going overseas and I need to check my credit card works ok but ok overseas,i m going overseas and i need to check my credit card works ok but ok overseas,0.17647058823529413,0.07692307692307693,0.44089719600015087,2026-04-04 00:41:46
exp2_shortform_asr,GA20A,ga20a_whisper_pipeline,228,openai/whisper-small,16000,6.687375, I need to change my address.,i need to change my address,I need to change my address,i need to change my address,0.0,0.0,0.21328079999966576,2026-04-04 00:41:46
exp2_shortform_asr,GA20A,ga20a_whisper_pipeline,142,openai/whisper-small,16000,13.568, I need to get some money out tomorrow and I'm just wondering what's the maximum I can withdraw from the count. Thanks.,i need to get some money out tomorrow and i m just wondering what s the maximum i can withdraw from the count thanks,I need to get money out tomorrow and I'm just wondering what's the maximum I can withdraw from my account thanks,i need to get money out tomorrow and i m just wondering what s the maximum i can withdraw from my account thanks,0.13043478260869565,0.08928571428571429,0.5377802369994242,2026-04-04 00:41:47
exp2_shortform_asr,GA20A,ga20a_whisper_pipeline,104,openai/whisper-small,16000,2.645375, The app isn't working.,the app isn t working,the App isn't working,the app isn t working,0.0,0.0,0.1969943329995658,2026-04-04 00:41:47
exp2_shortform_asr,GA20A,ga20a_whisper_pipeline,558,openai/whisper-small,16000,14.953625," Hey there, I'm just calling about setting up a direct debit. I'm just hoping that you could help me. I haven't been able to do this on the app and I just want to talk to someone about it to help set everything up.",hey there i m just calling about setting up a direct debit i m just hoping that you could help me i haven t been able to do this on the app and i just want to talk to someone about it to help set everything up,hello I'm I'm just calling about setting up a direct debit I'm I'm just hoping that you could help me I have never do this on the app and I just want to talk to someone about it to help you said everything up,hello i m i m just calling about setting up a direct debit i m i m just hoping that you could help me i have never do this on the app and i just want to talk to someone about it to help you said everything up,0.25,0.14903846153846154,1.0307450769996649,2026-04-04 00:41:48
exp2_shortform_asr,GA20A,ga20a_whisper_pipeline,89,openai/whisper-small,16000,13.056," Hey mate, I'm on to lock my card. I've lost my card so I need to freeze it or stop all transactions. Can you please do that for me?",hey mate i m on to lock my card i ve lost my card so i need to freeze it or stop all transactions can you please do that for me,hey mate I'm on lock my cardos lost my card so I need the freezer to stop all transactions can you please do that for me,hey mate i m on lock my cardos lost my card so i need the freezer to stop all transactions can you please do that for me,0.2962962962962963,0.11666666666666667,0.6894311910000397,2026-04-04 00:41:48
exp2_shortform_asr,GA20A,ga20a_whisper_pipeline,604,openai/whisper-small,16000,16.981375, Good day mate. I'm making a large purchase online at Sizzle Sunday and SMS verification code or something. I'm not sure how that works. Could you explain that? Thanks.,good day mate i m making a large purchase online at sizzle sunday and sms verification code or something i m not sure how that works could you explain that thanks,g'day mate I'm making a large purchase online it says ill send me an SMS verification code or something not sure how that works could you explain it thanks,g day mate i m making a large purchase online it says ill send me an sms verification code or something not sure how that works could you explain it thanks,0.3225806451612903,0.14193548387096774,0.7567069690003336,2026-04-04 00:41:49
exp2_shortform_asr,GA20A,ga20a_whisper_pipeline,432,openai/whisper-small,16000,8.448, Hi there. I'm calling about a business loan. I was wondering if I could get some information from you please.,hi there i m calling about a business loan i was wondering if i could get some information from you please,hi there I'm calling about a business loan I was wondering if I could get some information from you please,hi there i m calling about a business loan i was wondering if i could get some information from you please,0.0,0.0,0.5215492389997962,2026-04-04 00:41:50
exp2_shortform_asr,GA20A,ga20a_whisper_pipeline,32,openai/whisper-small,16000,8.12," You need to make a payment, an overdue payment.",you need to make a payment an overdue payment,I need to make a payment an overdue payment,i need to make a payment an overdue payment,0.1111111111111111,0.06976744186046512,0.300945354999385,2026-04-04 00:41:50
exp2_shortform_asr,GA20A,ga20a_whisper_pipeline,30,openai/whisper-small,16000,1.9505, The old payment.,the old payment,bill payment,bill payment,1.0,0.5,0.1737267480002629,2026-04-04 00:41:50
exp2_shortform_asr,GA20A,ga20a_whisper_pipeline,95,openai/whisper-small,16000,14.933375," Oh, hi there. I've just discovered that my card has gone missing and I'd like to freeze my card so that no transactions can occur. Can you help me with that please? Thanks.",oh hi there i ve just discovered that my card has gone missing and i d like to freeze my card so that no transactions can occur can you help me with that please thanks,oh hi there I've just discovered that my card has gone missing and ID like to freeze my car so that no transaction connect her can you help me help me with that please thanks,oh hi there i ve just discovered that my card has gone missing and id like to freeze my car so that no transaction connect her can you help me help me with that please thanks,0.2222222222222222,0.10344827586206896,0.7858581659993433,2026-04-04 00:41:51
exp2_shortform_asr,GA20A,ga20a_whisper_pipeline,223,openai/whisper-small,16000,6.997375," Hi, I'd like to change the address on my account please.",hi i d like to change the address on my account please,hi I just said the address of my come please,hi i just said the address of my come please,0.6,0.4318181818181818,0.36222017199997936,2026-04-04 00:41:51
exp2_shortform_asr,GA20A,ga20a_whisper_pipeline,238,openai/whisper-small,16000,5.461375," Hello, I was just wondering if I could please change my address. Thank you.",hello i was just wondering if i could please change my address thank you,hello I was just wondering if I could please change my address thank you,hello i was just wondering if i could please change my address thank you,0.0,0.0,0.3834508669997376,2026-04-04 00:41:52
exp2_shortform_asr,GA20A,ga20a_whisper_pipeline,517,openai/whisper-small,16000,4.864," Hello, I was wondering if you could please show me my latest transactions.",hello i was wondering if you could please show me my latest transactions,hello I was wondering if you could please show me my latest transaction,hello i was wondering if you could please show me my latest transaction,0.07692307692307693,0.014084507042253521,0.35368493599980866,2026-04-04 00:41:52
exp2_shortform_asr,GA20A,ga20a_whisper_pipeline,616,openai/whisper-small,16000,3.901, I'm just wondering how I can deposit money into the account.,i m just wondering how i can deposit money into the account,I'm just wondering how I can deposit money into the account,i m just wondering how i can deposit money into the account,0.0,0.0,0.3262186689998998,2026-04-04 00:41:52
