experiment,sub_experiment,script,workflow_name,sample_index,resampling_rate,decode_policy,predicted_text_raw,predicted_text_clean,predicted_text_normalized,reference_text_normalized,raw_wer,raw_cer,clean_wer,clean_cer,inference_time_sec,timestamp
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,25,8000,clean, I'm Amisa Paybill. I like to make payment., I'm Amisa Paybill. I like to make payment.,i m amisa paybill i like to make payment,i need to pay a bill id like to make payment,0.5454545454545454,0.25,0.5454545454545454,0.25,0.37174868600050104,2026-04-04 00:43:40
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,281,8000,clean, I want to open a joint account., I want to open a joint account.,i want to open a joint account,i want to open a joint account,0.0,0.0,0.0,0.0,0.2358883679999053,2026-04-04 00:43:40
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,250,8000,clean, I'm going to have a phase and I need to take my credit card book so I can have a phase., I'm going to have a phase and I need to take my credit card book so I can have a phase.,i m going to have a phase and i need to take my credit card book so i can have a phase,i m going overseas and i need to check my credit card works ok but ok overseas,0.7058823529411765,0.4358974358974359,0.7058823529411765,0.4358974358974359,0.5722646330004864,2026-04-04 00:43:41
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,228,8000,clean, I need to change my address., I need to change my address.,i need to change my address,i need to change my address,0.0,0.0,0.0,0.0,0.25441771500027244,2026-04-04 00:43:41
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,142,8000,clean," I need to get some money here tomorrow and I'm just wondering, what's your next one? I'll give you a go from the couch, thanks."," I need to get some money here tomorrow and I'm just wondering, what's your next one? I'll give you a go from the couch, thanks.",i need to get some money here tomorrow and i m just wondering what s your next one i ll give you a go from the couch thanks,i need to get money out tomorrow and i m just wondering what s the maximum i can withdraw from my account thanks,0.5217391304347826,0.36607142857142855,0.5217391304347826,0.36607142857142855,0.6363902560005954,2026-04-04 00:43:42
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,104,8000,clean, The app isn't working., The app isn't working.,the app isn t working,the app isn t working,0.0,0.0,0.0,0.0,0.19791699799952767,2026-04-04 00:43:42
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,558,8000,clean," Hello, I'm just calling about setting up a direct edit. I'm just hoping that you could help me out. I'm going to do this on the app and I just want to talk to someone about it to help me set everything up."," Hello, I'm just calling about setting up a direct edit. I'm just hoping that you could help me out. I'm going to do this on the app and I just want to talk to someone about it to help me set everything up.",hello i m just calling about setting up a direct edit i m just hoping that you could help me out i m going to do this on the app and i just want to talk to someone about it to help me set everything up,hello i m i m just calling about setting up a direct debit i m i m just hoping that you could help me i have never do this on the app and i just want to talk to someone about it to help you said everything up,0.22916666666666666,0.13942307692307693,0.22916666666666666,0.13942307692307693,1.0185002339994753,2026-04-04 00:43:43
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,89,8000,clean," I wanted to wash my card, so I need a freezer to stop all transactions. Can you please do that for me?"," I wanted to wash my card, so I need a freezer to stop all transactions. Can you please do that for me?",i wanted to wash my card so i need a freezer to stop all transactions can you please do that for me,hey mate i m on lock my cardos lost my card so i need the freezer to stop all transactions can you please do that for me,0.3333333333333333,0.25,0.3333333333333333,0.25,0.5143380680001428,2026-04-04 00:43:43
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,604,8000,clean," Yeah, yeah, I'm making a large purchase online at Cecil, sending an SMS to the application guide or something. I'm not sure how that works. Could you explain that? Thanks."," Yeah, yeah, I'm making a large purchase online at Cecil, sending an SMS to the application guide or something. I'm not sure how that works. Could you explain that? Thanks.",yeah yeah i m making a large purchase online at cecil sending an sms to the application guide or something i m not sure how that works could you explain that thanks,g day mate i m making a large purchase online it says ill send me an sms verification code or something not sure how that works could you explain it thanks,0.4838709677419355,0.24516129032258063,0.4838709677419355,0.24516129032258063,0.7752913659996921,2026-04-04 00:43:44
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,432,8000,clean," Hi there, I'm going to verify all the information from the site."," Hi there, I'm going to verify all the information from the site.",hi there i m going to verify all the information from the site,hi there i m calling about a business loan i was wondering if i could get some information from you please,0.7142857142857143,0.5377358490566038,0.7142857142857143,0.5377358490566038,0.3670032780000838,2026-04-04 00:43:45
