experiment,script,task_type,baseline_mode,dataset_sample_index,reference_text,predicted_text,model_name,input_text,voice_condition,input_sampling_rate,saved_sampling_rate,output_audio_path,output_text_path,output_figure_path,runtime_sec,timestamp,notes,source_csv,workflow_name,sample_index,audio_duration_sec,predicted_text_raw,predicted_text_normalized,reference_text_raw,reference_text_normalized,wer,cer,inference_time_sec,sub_experiment,resampling_rate,decode_policy,predicted_text_clean,raw_wer,raw_cer,clean_wer,clean_cer,chunk_length_s,batch_size,timestamp_mode,input_duration_sec,num_segments,total_words,total_characters,mean_segment_duration_sec,transcript_text,transcript_similarity_to_baseline,text_tag,speaker_condition,speaker_embedding_source,spectrogram_path,waveform_path,spectrogram_frames,spectrogram_bins,waveform_duration_sec,sample_rate_saved,waveform_rms,generation_time_sec,seed,speaking_rate,output_path,waveform_num_samples,prompt_mode,voice_preset,model_sample_rate,saved_sample_rate,save_rate_mode,round_trip_transcription,round_trip_wer,system_id,source_script,asr_evaluator,round_trip_cer,controllability_mode,reused_from_experiment
exp1_baselines,GA20A,asr,True,640.0,I want to put some money into my account and I'm not sure how to go about doing that, I want to put some money into my account and I'm not sure how to go about doing that.,openai/whisper-small,,,16000.0,,,hw14_experiments/group_a_asr/exp1_baselines/ga20a_baseline.json,,0.4951571310002691,2026-04-04 00:41:16,,group_a_asr/exp1_baselines/exp1_baselines.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp1_baselines,GA20B,asr,True,271.0,I need to know what's like my bank I can work overseas,ON ETIN A WAT A LIKE COT MU AND COM CANWARD CRGRVITE,facebook/wav2vec2-base-960h,,,16000.0,,,hw14_experiments/group_a_asr/exp1_baselines/ga20b_baseline.json,,0.6623827729999903,2026-04-04 00:41:19,,group_a_asr/exp1_baselines/exp1_baselines.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp1_baselines,GA20C,asr,True,210.0,I like to change my address please, Oh I'd like to change my address please. Yes my new address is 35 Frederick Street. Thank you.,openai/whisper-small,,,16000.0,,,hw14_experiments/group_a_asr/exp1_baselines/ga20c_baseline.json,,2.257994870999937,2026-04-04 00:41:23,,group_a_asr/exp1_baselines/exp1_baselines.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp1_baselines,GA20D,asr,True,,," The second in importance is as follows. Sovereignty may be defined to be the right of making laws. In France, the king really exercises a portion of the sovereign power, since the laws have no weight till he has given his assent to them. He is moreover, the executor of the laws, but he does not really cooperate in their formation since the refusal of his asset does not annul them. He is therefore merely to be considered as the agent of the sovereign power. But not only does the king of France exercise a portion of the sovereign power, He also contributes to the nomination of the legislature, which exercises the other portion. He has the privilege of appointing the members of one chamber and of dissolving the other at his pleasure, whereas the President of the United States has no share in the formation of the legislative body. And.",openai/whisper-small,,,16000.0,,,hw14_experiments/group_a_asr/exp1_baselines/ga20d_corrected_baseline.txt,,13.413074582000265,2026-04-04 00:41:38,Corrected baseline-equivalent wrapper used because GA20D.py omits the pipeline import.,group_a_asr/exp1_baselines/exp1_baselines.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp1_baselines,GA20E,asr,True,124.0,my Atlas is to login,why atmospheres is to lavini,microsoft/speecht5_asr,,,16000.0,,,hw14_experiments/group_a_asr/exp1_baselines/ga20e_baseline.json,,0.5716084019995833,2026-04-04 00:41:42,,group_a_asr/exp1_baselines/exp1_baselines.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_shortform_asr,GA20A,,,,,,openai/whisper-small,,,16000.0,,,,,,2026-04-04 00:41:45,,group_a_asr/exp2_shortform_asr/exp2_shortform_asr.csv,ga20a_whisper_pipeline,114.0,22.272," I'm having issues with the online banking app. I'm not sure what's wrong, but when I try to log in, it keeps crashing. So what I've done is I've deleted it and reinstalled it, but it still does the same thing and it's not working. Is there any way that you can call me back and assist me? Thank you.",i m having issues with the online banking app i m not sure what s wrong but when i try to log in it keeps crashing so what i ve done is i ve deleted it and reinstalled it but it still does the same thing and it s not working is there any way that you can call me back and assist me thank you,we're having issues with the online banking app I'm not sure what's wrong with but when I try to login it keeps crashing so what I've done is I've deleted it and we installed it but it still does the same thing and it's not working is there any way that you can call me back and assist me thank you,we re having issues with the online banking app i m not sure what s wrong with but when i try to login it keeps crashing so what i ve done is i ve deleted it and we installed it but it still does the same thing and it s not working is there any way that you can call me back and assist me thank you,0.1044776119402985,0.0402684563758389,1.4015135879999434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_shortform_asr,GA20A,,,,,,openai/whisper-small,,,16000.0,,,,,,2026-04-04 00:41:45,,group_a_asr/exp2_shortform_asr/exp2_shortform_asr.csv,ga20a_whisper_pipeline,25.0,6.656, I need to pay a bill. I'd like to make payment.,i need to pay a bill i d like to make payment,I need to pay a bill ID like to make payment,i need to pay a bill id like to make payment,0.1818181818181818,0.0227272727272727,0.3361830329995428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_shortform_asr,GA20A,,,,,,openai/whisper-small,,,16000.0,,,,,,2026-04-04 00:41:45,,group_a_asr/exp2_shortform_asr/exp2_shortform_asr.csv,ga20a_whisper_pipeline,281.0,2.218625, I want to open a joint account.,i want to open a joint account,I want to open a joint account,i want to open a joint account,0.0,0.0,0.247440541999822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_shortform_asr,GA20A,,,,,,openai/whisper-small,,,16000.0,,,,,,2026-04-04 00:41:46,,group_a_asr/exp2_shortform_asr/exp2_shortform_asr.csv,ga20a_whisper_pipeline,250.0,8.52, I'm going overseas and I need to check my credit card works okay? Okay overseas.,i m going overseas and i need to check my credit card works okay okay overseas,I'm going overseas and I need to check my credit card works ok but ok overseas,i m going overseas and i need to check my credit card works ok but ok overseas,0.1764705882352941,0.0769230769230769,0.4408971960001508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_shortform_asr,GA20A,,,,,,openai/whisper-small,,,16000.0,,,,,,2026-04-04 00:41:46,,group_a_asr/exp2_shortform_asr/exp2_shortform_asr.csv,ga20a_whisper_pipeline,228.0,6.687375, I need to change my address.,i need to change my address,I need to change my address,i need to change my address,0.0,0.0,0.2132807999996657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_shortform_asr,GA20A,,,,,,openai/whisper-small,,,16000.0,,,,,,2026-04-04 00:41:47,,group_a_asr/exp2_shortform_asr/exp2_shortform_asr.csv,ga20a_whisper_pipeline,142.0,13.568, I need to get some money out tomorrow and I'm just wondering what's the maximum I can withdraw from the count. Thanks.,i need to get some money out tomorrow and i m just wondering what s the maximum i can withdraw from the count thanks,I need to get money out tomorrow and I'm just wondering what's the maximum I can withdraw from my account thanks,i need to get money out tomorrow and i m just wondering what s the maximum i can withdraw from my account thanks,0.1304347826086956,0.0892857142857142,0.5377802369994242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_shortform_asr,GA20A,,,,,,openai/whisper-small,,,16000.0,,,,,,2026-04-04 00:41:47,,group_a_asr/exp2_shortform_asr/exp2_shortform_asr.csv,ga20a_whisper_pipeline,104.0,2.645375, The app isn't working.,the app isn t working,the App isn't working,the app isn t working,0.0,0.0,0.1969943329995658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_shortform_asr,GA20A,,,,,,openai/whisper-small,,,16000.0,,,,,,2026-04-04 00:41:48,,group_a_asr/exp2_shortform_asr/exp2_shortform_asr.csv,ga20a_whisper_pipeline,558.0,14.953625," Hey there, I'm just calling about setting up a direct debit. I'm just hoping that you could help me. I haven't been able to do this on the app and I just want to talk to someone about it to help set everything up.",hey there i m just calling about setting up a direct debit i m just hoping that you could help me i haven t been able to do this on the app and i just want to talk to someone about it to help set everything up,hello I'm I'm just calling about setting up a direct debit I'm I'm just hoping that you could help me I have never do this on the app and I just want to talk to someone about it to help you said everything up,hello i m i m just calling about setting up a direct debit i m i m just hoping that you could help me i have never do this on the app and i just want to talk to someone about it to help you said everything up,0.25,0.1490384615384615,1.0307450769996649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_shortform_asr,GA20A,,,,,,openai/whisper-small,,,16000.0,,,,,,2026-04-04 00:41:48,,group_a_asr/exp2_shortform_asr/exp2_shortform_asr.csv,ga20a_whisper_pipeline,89.0,13.056," Hey mate, I'm on to lock my card. I've lost my card so I need to freeze it or stop all transactions. Can you please do that for me?",hey mate i m on to lock my card i ve lost my card so i need to freeze it or stop all transactions can you please do that for me,hey mate I'm on lock my cardos lost my card so I need the freezer to stop all transactions can you please do that for me,hey mate i m on lock my cardos lost my card so i need the freezer to stop all transactions can you please do that for me,0.2962962962962963,0.1166666666666666,0.6894311910000397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_shortform_asr,GA20A,,,,,,openai/whisper-small,,,16000.0,,,,,,2026-04-04 00:41:49,,group_a_asr/exp2_shortform_asr/exp2_shortform_asr.csv,ga20a_whisper_pipeline,604.0,16.981375, Good day mate. I'm making a large purchase online at Sizzle Sunday and SMS verification code or something. I'm not sure how that works. Could you explain that? Thanks.,good day mate i m making a large purchase online at sizzle sunday and sms verification code or something i m not sure how that works could you explain that thanks,g'day mate I'm making a large purchase online it says ill send me an SMS verification code or something not sure how that works could you explain it thanks,g day mate i m making a large purchase online it says ill send me an sms verification code or something not sure how that works could you explain it thanks,0.3225806451612903,0.1419354838709677,0.7567069690003336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_shortform_asr,GA20A,,,,,,openai/whisper-small,,,16000.0,,,,,,2026-04-04 00:41:50,,group_a_asr/exp2_shortform_asr/exp2_shortform_asr.csv,ga20a_whisper_pipeline,432.0,8.448, Hi there. I'm calling about a business loan. I was wondering if I could get some information from you please.,hi there i m calling about a business loan i was wondering if i could get some information from you please,hi there I'm calling about a business loan I was wondering if I could get some information from you please,hi there i m calling about a business loan i was wondering if i could get some information from you please,0.0,0.0,0.5215492389997962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_shortform_asr,GA20A,,,,,,openai/whisper-small,,,16000.0,,,,,,2026-04-04 00:41:50,,group_a_asr/exp2_shortform_asr/exp2_shortform_asr.csv,ga20a_whisper_pipeline,32.0,8.12," You need to make a payment, an overdue payment.",you need to make a payment an overdue payment,I need to make a payment an overdue payment,i need to make a payment an overdue payment,0.1111111111111111,0.0697674418604651,0.300945354999385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_shortform_asr,GA20A,,,,,,openai/whisper-small,,,16000.0,,,,,,2026-04-04 00:41:50,,group_a_asr/exp2_shortform_asr/exp2_shortform_asr.csv,ga20a_whisper_pipeline,30.0,1.9505, The old payment.,the old payment,bill payment,bill payment,1.0,0.5,0.1737267480002629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_shortform_asr,GA20A,,,,,,openai/whisper-small,,,16000.0,,,,,,2026-04-04 00:41:51,,group_a_asr/exp2_shortform_asr/exp2_shortform_asr.csv,ga20a_whisper_pipeline,95.0,14.933375," Oh, hi there. I've just discovered that my card has gone missing and I'd like to freeze my card so that no transactions can occur. Can you help me with that please? Thanks.",oh hi there i ve just discovered that my card has gone missing and i d like to freeze my card so that no transactions can occur can you help me with that please thanks,oh hi there I've just discovered that my card has gone missing and ID like to freeze my car so that no transaction connect her can you help me help me with that please thanks,oh hi there i ve just discovered that my card has gone missing and id like to freeze my car so that no transaction connect her can you help me help me with that please thanks,0.2222222222222222,0.1034482758620689,0.7858581659993433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_shortform_asr,GA20A,,,,,,openai/whisper-small,,,16000.0,,,,,,2026-04-04 00:41:51,,group_a_asr/exp2_shortform_asr/exp2_shortform_asr.csv,ga20a_whisper_pipeline,223.0,6.997375," Hi, I'd like to change the address on my account please.",hi i d like to change the address on my account please,hi I just said the address of my come please,hi i just said the address of my come please,0.6,0.4318181818181818,0.3622201719999793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_shortform_asr,GA20A,,,,,,openai/whisper-small,,,16000.0,,,,,,2026-04-04 00:41:52,,group_a_asr/exp2_shortform_asr/exp2_shortform_asr.csv,ga20a_whisper_pipeline,238.0,5.461375," Hello, I was just wondering if I could please change my address. Thank you.",hello i was just wondering if i could please change my address thank you,hello I was just wondering if I could please change my address thank you,hello i was just wondering if i could please change my address thank you,0.0,0.0,0.3834508669997376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_shortform_asr,GA20A,,,,,,openai/whisper-small,,,16000.0,,,,,,2026-04-04 00:41:52,,group_a_asr/exp2_shortform_asr/exp2_shortform_asr.csv,ga20a_whisper_pipeline,517.0,4.864," Hello, I was wondering if you could please show me my latest transactions.",hello i was wondering if you could please show me my latest transactions,hello I was wondering if you could please show me my latest transaction,hello i was wondering if you could please show me my latest transaction,0.0769230769230769,0.0140845070422535,0.3536849359998086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_shortform_asr,GA20A,,,,,,openai/whisper-small,,,16000.0,,,,,,2026-04-04 00:41:52,,group_a_asr/exp2_shortform_asr/exp2_shortform_asr.csv,ga20a_whisper_pipeline,616.0,3.901, I'm just wondering how I can deposit money into the account.,i m just wondering how i can deposit money into the account,I'm just wondering how I can deposit money into the account,i m just wondering how i can deposit money into the account,0.0,0.0,0.3262186689998998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_shortform_asr,GA20A,,,,,,openai/whisper-small,,,16000.0,,,,,,2026-04-04 00:41:53,,group_a_asr/exp2_shortform_asr/exp2_shortform_asr.csv,ga20a_whisper_pipeline,27.0,6.912," Yes, I'd like to pay my bill today using a credit card.",yes i d like to pay my bill today using a credit card,yes ID like to pay my bill today using a credit card,yes id like to pay my bill today using a credit card,0.1666666666666666,0.0192307692307692,0.3658172369996464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_shortform_asr,GA20A,,,,,,openai/whisper-small,,,16000.0,,,,,,2026-04-04 00:41:54,,group_a_asr/exp2_shortform_asr/exp2_shortform_asr.csv,ga20a_whisper_pipeline,574.0,19.370625," Hi, I'm trying to make a large payment with a large sum of money. I do not know what to do with my messages and the payment code. What am I supposed to do?",hi i m trying to make a large payment with a large sum of money i do not know what to do with my messages and the payment code what am i supposed to do,hi I'm traffic lights payment prefer lots of money I do not know what to do with my messages and apparently chords,hi i m traffic lights payment prefer lots of money i do not know what to do with my messages and apparently chords,0.782608695652174,0.5526315789473685,0.764089143000092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_shortform_asr,GA20A,,,,,,openai/whisper-small,,,16000.0,,,,,,2026-04-04 00:41:54,,group_a_asr/exp2_shortform_asr/exp2_shortform_asr.csv,ga20a_whisper_pipeline,203.0,7.594625, My address. I want to change my address.,my address i want to change my address,my address I want to change my address,my address i want to change my address,0.0,0.0,0.2624408150004456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_shortform_asr,GA20A,,,,,,openai/whisper-small,,,16000.0,,,,,,2026-04-04 00:41:54,,group_a_asr/exp2_shortform_asr/exp2_shortform_asr.csv,ga20a_whisper_pipeline,429.0,3.584, I'm calling to find out about new business loans.,i m calling to find out about new business loans,I'm calling to find out about new business loans,i m calling to find out about new business loans,0.0,0.0,0.2788450019997981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_shortform_asr,GA20A,,,,,,openai/whisper-small,,,16000.0,,,,,,2026-04-04 00:41:55,,group_a_asr/exp2_shortform_asr/exp2_shortform_asr.csv,ga20a_whisper_pipeline,225.0,12.074375," Hey there, I'm just calling about my address. I've recently moved and I'm just needing to change it. Hopefully you can just lend me a hand with that one. Thanks.",hey there i m just calling about my address i ve recently moved and i m just needing to change it hopefully you can just lend me a hand with that one thanks,hey there I'm just calling about my address I've recently moved and I'm just needing to change it hopefully you can just lend me a hand with that one thanks,hey there i m just calling about my address i ve recently moved and i m just needing to change it hopefully you can just lend me a hand with that one thanks,0.0,0.0,0.7482992360000935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_shortform_asr,GA20A,,,,,,openai/whisper-small,,,16000.0,,,,,,2026-04-04 00:41:55,,group_a_asr/exp2_shortform_asr/exp2_shortform_asr.csv,ga20a_whisper_pipeline,459.0,4.522625, Hi there. I have a question about an existing loan.,hi there i have a question about an existing loan,hi there I have a question about the existing loan,hi there i have a question about the existing loan,0.1,0.06,0.2941433989999495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_shortform_asr,GA20B,,,,,,facebook/wav2vec2-base-960h,,,16000.0,,,,,,2026-04-04 00:41:58,,group_a_asr/exp2_shortform_asr/exp2_shortform_asr.csv,ga20b_wav2vec2_ctc,114.0,22.272,MHAVEN E SHOES WITH THE ON MY BANKING APPLE AT SHOR IT'S WRONG  TUT WHEN I TRY TO LOG IN IT KICKS CRASHING SO WHAT I'VE DONE HIS OVE TO LATED IT AND WING TOLED IT BUT IT STILL DOS THE FAINTING AND IT'S NOT WORKING AH IS THERE ANY WAY THAT YO CAN CALL ME BACK AN ERSYST ME THANK YOU,mhaven e shoes with the on my banking apple at shor it s wrong tut when i try to log in it kicks crashing so what i ve done his ove to lated it and wing toled it but it still dos the fainting and it s not working ah is there any way that yo can call me back an ersyst me thank you,we're having issues with the online banking app I'm not sure what's wrong with but when I try to login it keeps crashing so what I've done is I've deleted it and we installed it but it still does the same thing and it's not working is there any way that you can call me back and assist me thank you,we re having issues with the online banking app i m not sure what s wrong with but when i try to login it keeps crashing so what i ve done is i ve deleted it and we installed it but it still does the same thing and it s not working is there any way that you can call me back and assist me thank you,0.4477611940298507,0.2147651006711409,0.8440155799999047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
